"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"MDN1"	0	0	0	0	0	0	0	0	0	0.686480535571695	0.912629298060515	0.916236760114297	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996389587986251	0.999999999886752
"PKD1"	0	0	0	0	0	0	0	0	0	0.681348930506928	0.937548107097921	0.916333247183079	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.9963980236407	0.999999999886752
"FSIP2"	0	0	0	0	0	0	0	0	0	0.688001478242412	0.933445873854461	0.919324901154901	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996654541640611	0.999999999886752
"HYDIN"	0	0	0	0	0	0	0	0	0	0.692380217878164	0.919248660047092	0.919983694843422	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996709720529249	0.999999999886752
"HERC2"	0	0	0	0	0	0	0	0	0	0.693871896366035	0.919894512278063	0.920793306302878	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996776885448278	0.999999999886752
"RYR3"	0	0	0	0	0	0	0	0	0	0.697760674391379	0.911421779636007	0.921646329604969	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996846881669	0.999999999886752
"HMCN1"	0	0	0	0	0	0	0	0	0	0.696649109659124	0.917387279315663	0.921852428568573	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996863675007765	0.999999999886752
"DNAH17"	0	0	0	0	0	0	0	0	0	0.697613178511188	0.917688645274195	0.92235642667076	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99690454764722	0.999999999886752
"DYNC1H1"	0	0	0	0	0	0	0	0	0	0.700258663380735	0.917292392559091	0.9235841653189	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997002961091014	0.999999999886752
"RYR2"	0	0	0	0	0	0	0	0	0	0.702018114412746	0.911600589817029	0.923713624148365	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997013243133859	0.999999999886752
